NCT	title	status	study_results	study_type	start_date	min_age	max_age	gender	criteria	healthy_volunteers	sampling_method	locations	phases	enrollment	description	url	outcome_measures
NCT05925803	A Multicenter, Randomized, Parallel-group, Double-blind,Two-arm Phase III Study to Evaluate the Safety and Efficacy of Anifrolumab Compared With Placebo in Male and Female Participants 18 to 70 Years of Age Inclusive With Systemic Sclerosis	NOT_YET_RECRUITING	False	INTERVENTIONAL	2023-07-13	18	70	ALL	Key Inclusion Criteria:  1. Adult patients from 18 to 70 years of age inclusive 2. Systemic sclerosis according to 2013 ACR/EULAR classification criteria 3. Limited or diffuse cutaneous subsets 4. Systemic sclerosis disease duration within 6 years from first non-Raynaud's phenomenon manifestation 5. Either HAQ-DI score ≥ 0.25 points or PtGA score ≥ 3 points 6. mRSS \> 10 with early disease or rapid progression as defined by the protocol 7. mRSS ≥ 15 with disease duration ≥ 18 months and active disease as defined by the protocol 8. Stable background therapies can be used including hydroxychloroquine, methotrexate, azathioprine, mycophenolate mofetil, mycophenolic sodium, mycophenolic acid, oral glucocorticoids or tacrolimus 9. Women of childbearing potential with a negative urine pregnancy test 10. Uninvolved skin at injection sites  Key Exclusion Criteria:  1. Anticentromere antibody seropositivity on central laboratory 2. Severe cardiopulmonary disease as defined by the protocol 3. History of systemic sclerosis renal crisis within past 12 months (estimated glomerular filtration rate(eGFR) \< 45 mL/min) 4. Overlap syndromes, systemic lupus erythematosus with anti-double-stranded deoxyribonucleic acid antibody seropositivity or anti-citrullinated protein antibodies-positive rheumatoid arthritis, or SSc mimics (eg, scleromyxedema, eosinophilic fasciitis) 5. History of, or current, any other inflammatory diseases, eg, inflammatory bowel disease, skin disease, that, in the opinion of the investigator, could interfere with efficacy and safety assessments or require immunomodulatory therapy 6. Evidence of moderately severe concurrent nervous system, renal, endocrine, hepatic (eg, underlying chronic liver disease \[Child Pugh A, B, C hepatic impairment\]), or gastrointestinal disease (eg, clinical signs of malabsorption or needing parenteral nutrition) not related to SSc, as determined by the investigator 7. Hematopoietic stem cell transplantation or solid organ/limb transplantation 8. Any severe case of Herpes Zoster infection as defined by the protocol 9. Known malignancy or a history of malignancy within 5 years, with exception of excised/cured local basal or squamous cell carcinoma of the skin or carcinoma in situ of the uterine cervix 10. Major surgery within 8 weeks prior to and/or during study enrollment 11. Known active current or history of recurrent infections 12. Severe cardiopulmonary disease 13. Any condition that, in the opinion of the investigator or AstraZeneca, would interfere with the efficacy or safety evaluation of the study intervention or put participant at safety risk	False		United Kingdom|Austria|Turkey|Hungary|Spain|Germany|Romania|Belgium|United States|Italy|Canada|Korea, Republic of|Japan|China|France|Israel|Poland|Netherlands|Mexico	PHASE3	306	The purpose of this study is to evaluate the efficacy and safety of treatment with subcutaneous anifrolumab versus placebo in adult participants with systemic sclerosis. The target population for this study includes patients who meet the 2013 American College of Rheumatology/European League Against Rheumatism (ACR/EULAR) classification for systemic sclerosis, either limited or diffuse cutaneous subsets, with a disease duration of less than 6 years from first non-Raynaud's phenomenon symptom.	https://ClinicalTrials.gov/show/NCT05925803	Number of participants responding to treatment based on the Revised Composite Response Index in Systemic Sclerosis (CRISS-25); at Week 52|Number of participants responding to treatment based on the Revised Composite Response Index in Systemic Sclerosis (CRISS-25); at Week 52
NCT05923281	A Phase III Confirmatory Study of K-877 (Pemafibrate) in Patients With Hypercholesterolemia and Statin Intolerance-Multicenter, Placebo Controlled, Randomized, Double Blind, Parallel Group Controlled Trial in Patients With Statin Intolerant Hypercholesterolemia-	RECRUITING	False	INTERVENTIONAL	2023-05-01	18	None	ALL	Inclusion Criteria: The person who meet all the following criteria the object to the clinical trial  1. Patients had to be age 18 years or older at written informed consent 2. Patients with statin intolerant hypercholesterolemia 3. Patients who have laboratory records with fasting serum TG \<= 150 mg/dL (\<=175 mg/dL when not fasting) within 6 months prior to consent. 4. Patients with the fasting serum TG \<= 150 mg/dL at screening 5. Patients who have received dietary or exercise guidance from 12 weeks or more prior to Screening 6. Patients who apply any of the following risk category with LDL-C level (Friedewald formula) based on JAS2022 at screening     * Low risk for primary prevention: LDL-C \>=160 mg/dL    * Intermediate risk for primary prevention: LDL-C \>=140 mg/dL    * High risk for primary prevention: LDL-C\>=120 mg/dL    * Secondary prevention: LDL-C\>=120 mg/dL  Exclusion Criteria: The person who meet any of the following criteria will be excluded from the study.  1. Patients who require administration of prohibited drugs during the clinical trial period after written informed consent 2. Patients with type 1 diabetes and uncontrolled diabetes \[HbA1c(NGSP) \>= 10.0 % at Screening\] 3. Patients with uncontrolled thyroid disease 4. Patients with undergoing LDL apheresis 5. Patients with cirrhosis or those with biliary obstruction 6. Patients with familial hypercholesterolemia (homozygotes) 7. Patients with uncontrolled hypertension (SBP \>= 160 mmHg or DBP \>= 100 mmHg) at Screening 8. Patients with an AST or ALT three times the upper limit at Screening 9. Patients with an CK four times the upper limit at Screening 10. Patients with any of the following criteria within 3 months before obtaining informed consent: myocardial infarction, severe or unstable angina pectoris, coronary angioplasty, coronary artery bypass surgery, stroke, transient ischemic attack, symptomatic carotid artery stenosis, symptomatic peripheral arterial disease, abdominal aortic aneurysm, uncontrolled severe arrhythmia and decompensated heart failure 11. Patients who plan to undergo PCI, CABG, carotid artery or peripheral revascularization 12. Patients with heart failure class III or higher according to NYHA cardiac function classification 13. Patients with malignant tumor or those who are judged to have a high risk of recurrence 14. Patients with a history of myopathy or rhabdomyolysis due to K-877 (pemafibrate) 15. Patients with a history of hypersensitivity due to K-877 (pemafibrate) 16. Patients with a history of serious drug allergies (anaphylactic shock, etc.) 17. Pregnant women, lactating women, women planning to become pregnant or lactating during the study period, or pregnant women\*2 who do not use specific contraceptive methods\*1 18. Patients who have collected 400 mL or more of whole blood within 16 weeks, or 200 mL or more of whole blood within 4 weeks, or blood samples (plasma and platelet components) within 2 weeks before Screening 19. Patients with alcoholics or drug addicts 20. Patients who participated in other clinical trials of a drug with new active ingredients within 16 weeks or a drug with an approved active ingredients within 12 weeks prior to administration and received an investigational drug other than placebo,or those who will participate in other clinical trials at the same time as the clinical trial 21. Patients who have been determined inappropriate by the investigator, etc      * 1 Acceptable contraceptive methods: oral, implantable/injectable contraceptive hormones, mechanical products \[intrauterine devices (IUDs) ,etc\] or barrier methods with spermicides (pessaries, condoms, cervical caps, etc)     * 2 Woman of childbearing potential refers to a woman who is physiologically capable of becoming pregnant with a male partner who has not undergone contraception. However, it does not apply if the investigator confirms that any of the following criteria is met.        * Patients with hysterectomy or tubal ligation before informed consent       * Post-menopausal women (those who who have passed more than 1 year since their last menstrual period without other medical reasons).	False		Japan	PHASE3	60	To investigate the efficacy and safety of K-877 Extended Release 0.2 mg/day or 0.4 mg/day for 12 weeks in patients with Statin Intolerant\* Hypercholesterolemia,using placebo as a controll.  \*Statin Intolerant: Adverse events associated with statin use that cause unacceptable disturbances in the user's daily life, resulting in drug discontinuation or dose reduction.	https://ClinicalTrials.gov/show/NCT05923281	Percent change from baseline in LDL-C (formula F).; 4, 8, and 12 weeks after administration|Percent change from baseline in LDL-C (formula F).; 4, 8, and 12 weeks after administration
NCT05923112	BESPONSA® INJECTION 1 MG SPECIAL INVESTIGATION	ACTIVE_NOT_RECRUITING	False	OBSERVATIONAL	2018-07-02	0	None	ALL	Inclusion Criteria:  * All patients prescribed BESPONSA  Exclusion Criteria:  * None	False	PROBABILITY_SAMPLE	Japan		200	The purpose of this study is to learn about the safety and effectiveness of BESPONSA. BESPONSA is approved for treatment of relapsed or refractory CD22-positive acute lymphocytic leukemia.  Registration criteria for this study is all patients who starting BESPONSA from its launch to the market to April 30, 2020.  All patients in this study will receive BESPONSA according to the prescriptions.  Patients will be followed up as follow.  * 52 weeks for patients who did not have a HSCT (Hematopoietic Stem Cell Transplant) within 52 weeks after starting BESPONSA. * Up to 52 weeks after a HSCT for patients who had a HSCT within 52 weeks after starting BESPONSA.	https://ClinicalTrials.gov/show/NCT05923112	The incidence of adverse drug reactions; Up to 52 weeks
NCT05913700	Estimation of Prevalence of and Risk Factor for Respiratory Viruses Among Emergently Admitted Adult Patients With Respiratory Symptoms and Their Influence on Clinical Outcomes in the Settings From Rural to Urban Community Hospitals	NOT_YET_RECRUITING	False	OBSERVATIONAL	2023-07-01	50	None	ALL	Inclusion Criteria:  * Aged 50 years or older * Admission from emergency room * Having at least one of following respiratory symptoms/signs for at least 24 hours and the onset date of first symptom/sign less than 7 days before admission, which meet the acute respiratory infection (ARI) case definition described below: nasal congestion, rhinorrhea, sore throat, cough, sputum, dyspnea, wheeze, crackles or rhonchi, tachypnea (\>=20 per minute), decreased saturation of oxygen (\< 95%), admission with oxygen supplementation  Exclusion Criteria:  * Scheduled admission * Admission for trauma care * With nasopharyngeal cavity diseases or deformity which block the nasopharyngeal sampling * Admission for end of life * Decline to participate the study by either informed consent or opt-out method	False	NON_PROBABILITY_SAMPLE	Japan		3000	Study design is multicenter prospective registry study. Participants are consecutive (non-selected, a sequential registration) patients admitted from emergency rooms of participating hospitals who meet the eligibility criteria.  The primary objectives are to estimate the prevalence of and risk factors for RS and other respiratory virus infection and their effect on hospital course in patients with any respiratory symptom who admit from emergency room using a multicenter prospective registry study. The primary target virus is RS virus and the secondary target viruses are respiratory virus and other microorganisms measured by FilmArray 2.1.	https://ClinicalTrials.gov/show/NCT05913700	RS virus infection; On admission|RS virus infection; On admission
NCT05911841	A Phase 2, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled, 52 Week Study to Evaluate the Efficacy and Safety of LY3454738 in the Treatment of Adult Patients With Moderate-to-Severe Atopic Dermatitis	NOT_YET_RECRUITING	False	INTERVENTIONAL	2023-06-15	18	70	ALL	Inclusion Criteria:  * Are candidates for systemic therapy.  ISA specific:  * Have moderate-to-severe AD, defined as meeting all of the following criteria, at the first dosing visit:    * EASI score greater than or equal to (≥)16   * vIGA-AD score ≥3, and   * ≥10% of BSA involvement (per EASI BSA). * Have applied at least 1 emollient every day for at least 2 weeks before the day of the first dose of study intervention in this ISA and agree to daily use of at least 1 emollient continuously throughout the study.  Exclusion Criteria:  ISA specific:  * Have, in the screening period, any of the skin conditions, infections, or medical conditions listed under master IMMB. * Are currently being treated with topical or systemic therapy * Recent treatment with experimental (biologics and/or small molecules) - doesn't apply for subset of participants who must have been exposed to biologics and/or small molecules.	False		United States|Taiwan|Italy|Canada|Korea, Republic of|Hungary|Japan|Poland|China|Mexico	PHASE2	260	The main purpose of this study is to describe the efficacy and safety of LY3454738 in adult participants with moderate-to-severe atopic dermatitis (AD).	https://ClinicalTrials.gov/show/NCT05911841	Percentage of Participants Achieving Eczema Area and Severity Index (EASI) 75; Week 16|Percentage of Participants Achieving Eczema Area and Severity Index (EASI) 75; Week 16
NCT05905055	A Phase 3, Multi-Center, Randomized, Single-Blind Study to Assess the Efficacy and Safety of Cefepime/Nacubactam and Aztreonam/Nacubactam Versus Best Available Therapy in Adults With Complicated Urinary Tract Infection, Acute Uncomplicated Pyelonephritis, Hospital-Acquired Bacterial Pneumonia, Ventilator Associated Bacterial Pneumonia, and Complicated Intra-Abdominal Infection Due to Carbapenem Resistant Enterobacterales	RECRUITING	False	INTERVENTIONAL	2023-06	18	None	ALL	Inclusion Criteria:  1. Male or female patients at least 18 years of age (or age of legal consent, whichever is older) at the time of obtaining informed consent and who can be hospitalized throughout the Treatment Period; 2. Weight at most 140 kg; 3. The following criteria must be satisfied:     a. For known CRE infection, meets either of the following (i or ii): i. Has a known CRE infection, alone or as a single isolate of a polymicrobial infection, based on evidence from CRE culture, susceptibility testing, and possible carbapenemase phenotypic testing (or possible molecular testing) within 72 hours (or 96 hours for cIAI) prior to the first dose of study drug; AND Has received no more than 24 hours of an antimicrobial agent to which the known CRE is known to be susceptible within 72 hours (or 96 hours for cIAI) prior to the first dose of study drug; OR ii. Has a known CRE infection, alone or as a single isolate of a polymicrobial infection, based on evidence from CRE culture, susceptibility testing, and possible carbapenemase phenotypic testing (or possible molecular testing) within 72 hours (or 96 hours for cIAI) prior to the first dose of study drug; AND Has documented clinical evidence of failure (ie, clinical deterioration or failure to improve) after at least 48 hours of treatment with an antimicrobial agent to which the known CRE is known to be susceptible within 72 hours (or 96 hours for cIAI) prior to the first dose of study drug; b. For suspected CRE infection, meets the following (i or ii): i. Has a suspected CRE infection, alone or as a single isolate of a polymicrobial infection, based on evidence which may be determined within 90 days prior to the first dose of study drug through rapid diagnostic tests, active surveillance cultures, other documentation of CRE colonization, or prior infection due to a CRE pathogen; AND Has received no more than 24 hours of empiric antimicrobial therapy for Gram negative organisms within 72 hours (or 96 hours for cIAI) prior to the first dose of study drug； ii. Has a suspected CRE infection, alone or as a single isolate of a polymicrobial infection, based on evidence which may be determined within 90 days prior to the first dose of study drug through rapid diagnostic tests, active surveillance cultures, other documentation of CRE colonization, or prior infection due to a CRE pathogen; AND Has documented clinical evidence of failure (ie, clinical deterioration or failure to improve) after at least 48 hours of treatment with empiric antimicrobial therapy for Gram-negative organisms within 72 hours (or 96 hours for cIAI) prior to the first dose of study drug; Note: CRE is defined as Enterobacterales by susceptibility data of MIC at least 2 microg/mL to imipenem or meropenem OR imipenem or meropenem disk diffusion (zone diameter \< 22 mm). If MIC or disk diffusion data are not available in the local laboratory or before the availability of MIC or disk diffusion results, each site can use other methods and criteria in the institution (eg, phenotypic or molecular testing) as the initial evidence of CRE for enrollment. In any case, pathogen identification and susceptibility testing performed at the central laboratory will be used to determine CRE in the final study analysis.  Exclusion Criteria:  1. Has a history of serious allergy, hypersensitivity (eg, anaphylaxis), or any serious allergic reaction to carbapenems, cephems, penicillins, other beta-lactam antibiotics, or any BLIs (eg, tazobactam, sulbactam, or clavulanic acid) 2. Has known or suspected single or concurrent infection with Acinetobacter spp., metallo-β-lactamase (MBL) producing Pseudomonas aeruginosa, or other organisms that are not adequately covered by the study drug (eg, concurrent viral, mycobacterial, or fungal infection) and need to be managed with other anti-infectives; Note: Patients with qualifying Gram-negative pathogen co-infected with a Gram-positive pathogen may be administered narrow spectrum, open-label glycopeptide (eg, vancomycin), oxazolidinone (eg, linezolid), or daptomycin concomitantly with the study drug at the discretion of the Investigator. Patients with cIAI may receive metronidazole in addition to cefepime/nacubactam, aztreonam/nacubactam, or as part of BAT if anaerobic coverage is deemed necessary 3. Has only a Gram-positive organism pathogen isolated from study-qualifying culture;	False		Japan	PHASE3	150	This study is a multi-center, randomized, single-blind, parallel-group study to assess the efficacy and safety, when nacubactam is coadministered with cefepime or aztreonam, compared with best available therapy (BAT), in the treatment of patients with cUTI, AP, HABP, VABP, and cIAI, due to Carbapenem Resistant Enterobacterales.	https://ClinicalTrials.gov/show/NCT05905055	The primary efficacy endpoint is the proportion of patients with overall treatment success at TOC across all infection types (ie, cUTI, AP, HABP, VABP, and cIAI), which is a composite endpoint derived from the efficacy outcomes of each infection type.; 7 [±2] days after EOT [Day 10 to 23]
NCT05896215	A Phase II Clinical Study of KNP2002 Ointment in Patients With Common Warts (OM202JA)	RECRUITING	False	INTERVENTIONAL	2023-06-12	15	49	ALL	Inclusion Criteria:  * Subjects aged 15 to 49 years old * Subjects with common warts on the upper or lower limb * Subjects who agree to contraception from obtaining consent to 4 weeks after the end of administration * Subjects who have given their voluntary written consent to participate in this clinical trial  Exclusion Criteria:  * Subjects with 5 or more warts on the upper or lower limbs * Subjects who are scheduled to undergo treatment such as physical therapy or chemotherapy for warts * Subjects with a history of allergy to topical skin preparations * Subjects with a history of malignant tumor within 5 years before administration of study drug * Subjects with any of the following diseases: Malignant tumor; Serious heart disease; Poorly controlled diabetes/hypertension * Women who are pregnant, may become pregnant, or are breastfeeding	False		Japan	PHASE2	160	The goal of this clinical trial is to evaluate safety and efficacy of KNP2002 in patients with common warts aged 15 to 50 years old.	https://ClinicalTrials.gov/show/NCT05896215	Change in wart area; At 16 weeks after starting administration|Change in wart area; At 16 weeks after starting administration
NCT05894590	Cohort Survey on Non-Acute Safety in Persons With Underlying Diseases Who Are Considered to Be at High Risk of Severe COVID-19 by Using Vaccination Information	NOT_YET_RECRUITING	False	OBSERVATIONAL	2023-08-31	18	75	ALL	Inclusion Criteria:  * Participants registered to receive the mRNA-1273 vaccine in the Pep Up vaccination history Database * Participants who have a history of vaccination with the mRNA-1273 vaccine in the Pep-Up vaccination history Database and the observation start date is at least 6 months prior to vaccination with the mRNA-1273 vaccine and have underlying diseases.  Exclusion Criteria:  * Underlying diseases that were determined undetectable by the pre-screening of JMDC * Participants who did not consent to the questionnaire.	False	NON_PROBABILITY_SAMPLE	Japan		8000	The goal of this study is to assess serious adverse events associated with hospitalizations in the non-acute phase after vaccination with the mRNA-1273 vaccine in persons with underlying diseases who are considered to have a high risk of severe exacerbation of COVID-19.	https://ClinicalTrials.gov/show/NCT05894590	Number of Participants With Serious Events Associated With all-Cause Hospitalizations; Up to 1 year post vaccination
NCT05894525	Cohort Survey on Acute Phase Safety in Persons With Underlying Diseases Considered to Be at High Risk of Severe COVID-19 by Using Vaccination Information	ACTIVE_NOT_RECRUITING	False	OBSERVATIONAL	2022-12-22	18	75	ALL	Inclusion Criteria:  * Participants registered to receive the mRNA-1273 vaccine in the Pep Up vaccination history Database * Participants who have a history of vaccination with the mRNA-1273 vaccine in the Pep-Up vaccination history Database and have underlying diseases. Data period for confirmation of presence/absence of underlying disease is August 2020 to November 2021.  Exclusion Criteria:  * Underlying diseases that were determined undetectable by the pre-screening of JMDC * Participants who did not consent to the questionnaire	False	NON_PROBABILITY_SAMPLE	Japan		8844	The goal of this study is to assess the adverse events in the acute phase observed after vaccination with the mRNA-1273 vaccine in persons with underlying diseases who are considered to have a high risk of severe exacerbation specified in COVID-19.	https://ClinicalTrials.gov/show/NCT05894525	Number of Participants With Solicited Acute Adverse Events; Up to 8 days post vaccination
NCT05894499	Cohort Survey on Shock and Anaphylaxis in Persons With Underlying Diseases Considered to Be at High Risk of Severe COVID-19 by Using Vaccination Information	ACTIVE_NOT_RECRUITING	False	OBSERVATIONAL	2022-12-22	18	75	ALL	Inclusion Criteria:  * Participants registered to receive the mRNA-1273 vaccine in the Pep Up vaccination history Database * Participants who have a history of vaccination with the mRNA-1273 vaccine in the Pep-Up vaccination history Database and the observation start date is at least 6 months prior to vaccination with the mRNA-1273 vaccine and have underlying diseases. Data period for confirmation of presence/absence of underlying disease is May 2021 to November 2021.  Exclusion Criteria:  * Underlying diseases that were determined undetectable by the pre-screening of JMDC * Participants who did not consent to the questionnaire.	False	NON_PROBABILITY_SAMPLE	Japan		13309	The goal of this study is to confirm the onset status of hypersensitivity reactions including shock and anaphylaxis observed after vaccination with this drug in persons with underlying diseases who are considered to have a high risk of severe exacerbation of COVID-19 and explore risk factors.	https://ClinicalTrials.gov/show/NCT05894499	Number of Participants With Hypersensitivity Reactions Including Shock and Anaphylaxis After Either Dose 1 and Dose 2; Up to 2 days post vaccination after either the first or second vaccination|Number of Participants With Hypersensitivity Reactions Including Shock and Anaphylaxis After Either Dose 1 and Dose 2; Up to 2 days post vaccination after either the first or second vaccination
